IDNo.	JobType	Sex	Satisfaction	Salary	Search
96	4	1	2	42	3
97	2	1	1	54	2
98	2	1	1	55	1
99	4	1	3	39	1
100	4	1	3	44	4
101	4	1	3	44	2
102	4	1	2	50	3
103	5	1	2	36	1
104	1	1	2	55	1
105	3	1	3	42	2
106	4	1	2	48	3
107	4	1	1	47	3
108	5	1	2	47	1
109	2	1	2	58	2
110	1	1	2	52	2
111	4	1	3	35	4
112	1	1	2	51	2
113	4	1	2	43	6
114	1	1	2	53	1
115	3	1	2	41	3
116	5	1	3	38	2
117	2	1	1	43	2
118	1	1	2	48	2
119	4	1	1	44	4
120	1	1	1	44	1
121	5	1	2	39	3
122	3	1	1	45	1
123	1	1	1	55	1
124	1	2	1	55	2
125	1	2	2	42	5
126	5	1	2	36	1
127	1	2	3	50	2
128	4	1	2	49	2
129	1	2	2	51	5
130	4	1	1	46	1
131	2	1	2	53	1
132	2	2	2	47	4
133	4	1	3	49	6
134	2	1	2	59	1
135	1	2	2	53	3
136	2	1	1	59	3
137	1	2	3	53	2
138	4	2	2	45	2
139	3	1	1	45	4
140	1	1	2	58	1
141	4	2	4	51	2
142	1	2	3	45	2
143	2	1	2	60	1
144	4	2	1	42	4
145	4	2	3	49	4
146	2	2	3	44	1
147	3	1	1	46	2
148	2	2	2	39	2
149	3	2	3	42	2
150	5	1	4	50	2
151	5	2	4	37	1
152	2	1	3	54	2
153	2	1	2	55	1
154	4	2	2	42	4
155	1	2	1	44	4
156	5	2	3	36	2
157	5	2	2	44	1
158	1	2	1	61	1
159	3	2	1	37	2
160	2	2	1	53	1
161	2	2	1	46	2
162	2	2	1	60	1
163	2	1	1	65	2
164	1	2	3	43	4
165	1	2	2	49	1
166	4	2	2	48	1
167	5	2	2	36	5
168	4	2	3	41	2
169	2	2	2	51	1
170	2	1	2	59	1
171	1	2	2	40	2
172	3	2	1	43	6
173	4	2	3	51	3
174	2	2	3	53	1
175	3	2	2	38	2
176	5	2	2	33	4
177	1	2	2	52	2
178	1	2	3	60	1
179	3	2	2	48	1
180	1	2	1	47	1
181	1	2	3	51	2
182	4	2	4	50	1
183	2	2	2	53	1
184	4	2	1	40	1
185	4	2	1	52	2
186	1	2	2	46	1
187	2	2	1	49	2
188	4	2	3	47	4
189	4	2	1	43	3
190	1	2	2	42	4
191	4	2	1	45	6
192	4	2	2	43	2
193	5	2	2	35	3
194	3	2	3	54	2
195	2	2	1	51	4
196	1	2	3	54	4
197	2	2	1	41	1
198	2	2	2	45	2
199	5	2	3	38	3
200	1	2	1	40	3
201	3	2	2	44	2
202	3	2	2	44	1
203	5	2	1	43	5
204	2	2	2	45	2
205	4	2	3	44	1
206	4	2	4	46	3
207	4	2	3	46	4
208	5	2	2	34	6
209	2	1	1	63	2
210	1	2	2	49	2
211	4	2	2	42	2
212	3	2	1	49	2
213	5	2	2	46	4
214	5	2	3	44	2
215	4	2	2	48	3
216	2	2	1	45	2
217	4	2	1	42	2
218	5	2	3	46	3
219	3	2	1	52	1
220	5	2	1	32	2
221	4	2	2	38	1
222	3	2	2	40	4
223	4	2	2	33	2
224	2	2	1	46	1
225	1	2	3	51	2
226	2	2	2	55	2
227	3	2	1	44	2
228	2	2	2	46	2
229	1	2	2	49	1
230	3	2	1	48	3
231	1	2	1	59	2
232	2	2	1	46	5
233	2	1	2	59	1
234	1	2	2	46	1
235	3	2	1	35	2
236	1	2	2	44	1
237	4	2	3	43	2
238	1	2	2	54	1
239	3	2	1	41	1
240	1	2	1	51	1
241	3	2	3	47	6
242	2	2	1	44	1
243	5	2	2	26	2
244	2	2	1	58	1
245	2	2	1	46	5
246	3	2	2	45	2
247	5	2	2	29	1
248	1	2	3	60	1
249	1	2	1	49	1
250	3	2	3	49	2
251	4	2	3	48	4
252	1	2	2	54	2
253	1	2	1	45	2
